"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"5","5","Abbey Gargoyles","hml","Near Mint","English","","","2023-03-04 20:23:58.003000","1","False","False",""
"12","12","Abbey Matron","hml","Near Mint","English","","","2023-04-13 07:22:12.257000","2b","False","False",""
"14","14","Abbey Matron","hml","Near Mint","English","","","2023-03-04 20:21:45.817000","2a","False","False",""
"2","2","Abduction","wth","Near Mint","English","","","2023-04-13 07:50:46.110000","30","False","False",""
"1","1","Aberrant","40k","Near Mint","English","","","2023-10-16 11:54:37.510000","86","False","False",""
"1","1","Abhorrent Overlord","ths","Near Mint","English","","","2023-05-24 12:26:29.443000","75","False","True",""
"2","2","Abjure","wth","Near Mint","English","","","2023-04-13 07:50:15.237000","31","False","False",""
"1","1","Abomination","4ed","Near Mint","English","","","2023-03-04 20:58:22.683000","117","False","False",""
"1","1","Abrade","brc","Near Mint","English","","","2023-01-28 15:08:38.020000","111","False","False",""
"2","2","Abu Ja'far","chr","Near Mint","English","","","2023-03-04 20:11:20.717000","1","False","False",""
"1","1","Abundance","40k","Near Mint","English","","","2023-07-28 10:00:19.993000","210","False","False",""
"1","1","Abundance","40k","Near Mint","English","foil","","2023-08-16 08:56:07.523000","210★","False","True",""
"2","2","Abundant Growth","avr","Near Mint","English","","","2023-04-29 13:35:36.077000","167","False","False",""
"1","1","Abyssal Persecutor","ima","Near Mint","English","","","2023-05-24 12:26:35.023000","78","False","True",""
"1","1","Abyssal Specter","5ed","Near Mint","English","","","2023-03-04 21:01:49.937000","139","False","False",""
"1","1","Abyssal Specter","ice","Near Mint","English","","","2023-02-01 11:05:10.320000","113","False","False",""
"1","1","Abzan Banner","ktk","Near Mint","German","","","2023-04-29 13:33:02.853000","215","False","False",""
"1","1","Academy Rector","uds","Near Mint","English","","","2023-10-11 09:33:40.600000","1","False","False",""
"1","1","Academy Rector","uds","Near Mint","English","","","2023-05-24 12:26:40.620000","1","False","True",""
"1","1","Academy Ruins","tsp","Near Mint","English","","","2023-06-17 18:11:24.903000","269","False","True",""
"1","1","Academy Ruins","mma","Near Mint","English","","","2023-06-17 17:00:11.573000","219","False","False",""
"1","1","Acclaimed Contender","moc","Near Mint","English","","","2023-04-10 07:45:23.203000","166","False","False",""
"1","1","Accumulated Knowledge","a25","Near Mint","English","","","2023-04-29 13:41:51.307000","40","False","False",""
"1","1","Acidic Dagger","mir","Near Mint","English","","","2023-03-03 20:05:38.163000","291","False","False",""
"1","1","Acidic Soil","plist","Near Mint","English","","","2023-10-16 11:48:15.500000","916","False","False",""
"1","1","Acolyte of Bahamut","clb","Near Mint","English","foil","","2023-03-11 15:32:53.723000","212","False","False",""
"1","1","Acolyte of Bahamut","clb","Near Mint","English","etched","","2023-10-21 18:19:05.360000","513","False","True",""
"1","1","Act of Treason","m20","Near Mint","English","","","2023-07-03 07:56:01.607000","124","False","False",""
"2","2","Act on Impulse","m15","Near Mint","English","","","2023-07-03 07:53:11.223000","126","False","False",""
"1","1","Act on Impulse","m15","Near Mint","German","","","2023-07-03 07:19:00.007000","126","False","False",""
"5","5","Active Volcano","chr","Near Mint","English","","","2023-02-01 10:32:30.650000","43","False","False",""
"1","1","Ad Nauseam","ala","Near Mint","English","","","2023-10-11 09:33:05.813000","63","False","False",""
"1","1","Ad Nauseam","ala","Near Mint","English","","","2023-04-13 12:38:24.163000","63","False","True",""
"2","2","Adaptive Sporesinger","one","Near Mint","English","","","2023-02-09 10:11:25.143000","157","False","False",""
"2","2","Adarkar Unicorn","ice","Near Mint","English","","","2023-02-01 11:17:31.370000","1","False","False",""
"1","1","Adarkar Wastes","ptc","Near Mint","English","","","2023-10-21 18:32:50.437000","shr351","False","True",""
"2","2","Adarkar Wastes","ice","Near Mint","English","","","2023-01-21 14:10:37.053000","351","False","False",""
"1","1","Adeline, Resplendent Cathar","moc","Near Mint","English","","","2023-04-10 07:45:23.203000","167","False","False",""
"1","1","Adeline, Resplendent Cathar","pmid","Near Mint","English","","","2023-07-06 10:15:19.197000","1p","False","True",""
"1","1","Adriana, Captain of the Guard","c20","Near Mint","English","","","2023-07-26 19:00:41.057000","200","False","False",""
"1","1","Adrix and Nev, Twincasters","c21","Near Mint","English","","","2023-10-11 09:53:08.140000","336","False","False",""
"4","4","Advance Scout","tmp","Near Mint","English","","","2023-04-13 07:20:12.773000","1","False","False",""
"1","1","Adventurous Impulse","j22","Mint","English","","","2023-01-21 13:13:55.757000","627","False","False",""
"1","1","Aerial Boost","mom","Near Mint","English","","","2023-04-29 09:00:14.597000","2","False","False",""
"1","1","Aeronaut Tinkerer","m15","Near Mint","English","","","2023-07-03 07:46:52.150000","43","False","False",""
"1","1","Aesi, Tyrant of Gyre Strait","cmr","Near Mint","English","foil","","2023-06-17 17:08:42.690000","365","False","False",""
"2","2","Aesi, Tyrant of Gyre Strait","cmr","Near Mint","English","foil","","2023-06-17 18:11:43.437000","365","False","True",""
"3","3","Aesthir Glider","all","Near Mint","English","","","2023-04-10 08:07:31.383000","116a","False","False",""
"1","1","Aether Chaser","aer","Near Mint","German","","","2023-07-03 07:34:47.627000","76","False","False",""
"5","5","Aether Spellbomb","mrd","Near Mint","English","","","2023-04-29 13:51:44.377000","141","False","False",""
"2","2","Aether Storm","5ed","Near Mint","English","","","2023-04-13 08:13:01.527000","70","False","False",""
"3","3","Aether Storm","hml","Near Mint","English","","","2023-04-13 07:59:39.417000","21","False","False",""
"1","1","Aetherblade Agent // Gitaxian Mindstinger","mom","Near Mint","English","","","2023-05-11 07:17:25.863000","88","False","False",""
"1","1","Afiya Grove","mir","Near Mint","English","","","2023-04-11 12:33:39.627000","205","False","False",""
"1","1","Afterlife","mir","Near Mint","English","","","2023-03-04 20:50:32.723000","1","False","False",""
"1","1","Aftershock","j22","Mint","English","","","2023-01-21 13:13:55.757000","129","False","False",""
"1","1","Agadeem's Awakening // Agadeem, the Undercrypt","znr","Near Mint","English","","","2023-09-07 14:57:56.273000","90","False","False",""
"1","1","Agadeem's Awakening // Agadeem, the Undercrypt","pznr","Near Mint","English","foil","","2023-09-07 14:57:53.213000","90s","False","True",""
"1","1","Against All Odds","one","Near Mint","English","","","2023-02-09 09:24:21.433000","1","False","False",""
"1","1","Agatha's Soul Cauldron","woe","Near Mint","English","","","2023-10-11 09:25:20.137000","366","False","False",""
"1","1","Aggravated Assault","ons","Near Mint","English","","","2023-04-12 12:18:16.750000","185","False","True",""
"1","1","Aggressive Mining","m15","Near Mint","English","","","2023-05-24 13:06:55.527000","127","False","True",""
"4","4","Agility","mir","Near Mint","English","","","2023-03-04 19:12:16.863000","154","False","False",""
"1","1","Agonizing Memories","wth","Near Mint","English","","","2023-03-04 21:09:36.897000","60","False","False",""
"1","1","Agrus Kos, Eternal Soldier","j22","Mint","English","","","2023-01-21 13:13:55.757000","1","False","False",""
"1","1","Ahn-Crop Invader","war","Near Mint","English","","","2023-07-03 07:57:21.317000","113","False","False",""
"1","1","Ainok Survivalist","c19","Near Mint","English","","","2023-05-24 12:24:47.370000","156","False","False",""
"2","2","Air Elemental","3ed","Near Mint","English","","","2023-03-04 19:32:20.770000","47","False","False",""
"1","1","Akki Ember-Keeper","neo","Near Mint","English","foil","","2023-03-15 21:09:12.563000","130","False","False",""
"1","1","Akki Ronin","neo","Near Mint","English","","","2023-02-15 21:22:16.077000","319","False","False",""
"1","1","Akroan Horse","mb1","Near Mint","English","","","2023-05-24 12:27:04.513000","1541","False","True",""
"1","1","Akroma's Memorial","fut","Near Mint","English","","","2023-10-11 09:37:59.697000","159","False","False",""
"1","1","Akroma's Will","cmr","Near Mint","English","","","2023-08-24 06:42:38.273000","615","False","False",""
"1","1","Akroma's Will","cmr","Near Mint","English","","","2023-04-21 18:44:56.963000","3","False","True",""
"1","1","Alabaster Dragon","wth","Near Mint","English","","","2023-01-22 09:53:06.153000","2","False","False",""
"1","1","Alabaster Host Sanctifier","mom","Near Mint","English","","","2023-04-29 08:58:32.843000","4","False","False",""
"3","3","Alabaster Potion","4ed","Near Mint","English","","","2023-03-04 20:14:10.933000","1","False","False",""
"3","3","Aladdin's Ring","4ed","Good (Lightly Played)","English","","","2023-01-29 08:43:47.643000","292","False","False",""
"1","1","Alandra, Sky Dreamer","j22","Mint","English","","","2023-01-26 07:53:10.627000","9","False","False",""
"2","2","Alarum","mir","Near Mint","English","","","2023-03-04 20:50:16.647000","2","False","False",""
"1","1","Alchemist's Apprentice","avr","Near Mint","English","","","2023-07-03 07:44:34.570000","42","False","False",""
"3","3","Alchemist's Refuge","avr","Near Mint","English","","","2023-10-21 18:36:15.467000","225","False","True",""
"2","2","Aleatory","mir","Near Mint","English","","","2023-02-01 10:29:27.967000","155","False","False",""
"2","2","Ali Baba","4ed","Near Mint","English","","","2023-04-13 09:02:08.003000","175","False","False",""
"13","13","Aliban's Tower","hml","Near Mint","English","","","2023-04-12 21:00:50.020000","61b","False","False",""
"12","12","Aliban's Tower","hml","Near Mint","English","","","2023-04-12 21:01:14.667000","61a","False","False",""
"1","1","All Is Dust","cmm","Near Mint","English","","","2023-07-26 19:03:52.813000","800","False","False",""
"1","1","All Will Be One","one","Near Mint","English","","","2023-10-11 09:46:00.380000","118","False","False",""
"1","1","All Will Be One","pone","Near Mint","English","foil","","2023-10-21 18:59:08.267000","118s","False","True",""
"1","1","Allosaurus Shepherd","2x2","Near Mint","English","","","2023-04-12 12:18:49.260000","132","False","True",""
"1","1","Allosaurus Shepherd","jmp","Near Mint","English","","","2023-06-17 16:46:56.850000","28","False","False",""
"1","1","Alpha Authority","gtc","Near Mint","English","","","2023-05-24 13:07:05.573000","114","False","True",""
"4","4","Alpine Meadow","khm","Near Mint","English","","","2023-02-04 11:07:16.917000","248","False","False",""
"1","1","Aluren","tmp","Near Mint","English","","","2023-08-24 07:01:08.257000","213","False","False",""
"1","1","Ambulatory Edifice","one","Near Mint","English","","","2023-02-04 11:02:35.730000","79","False","False",""
"7","7","Ambush","hml","Near Mint","English","","","2023-04-12 20:58:12.193000","62","False","False",""
"9","9","Ambush Party","hml","Near Mint","English","","","2023-04-12 20:56:14.350000","63b","False","False",""
"9","9","Ambush Party","hml","Near Mint","English","","","2023-04-12 20:56:06.817000","63a","False","False",""
"1","1","Amoeboid Changeling","j22","Mint","English","","","2023-01-21 13:13:55.757000","269","False","False",""
